filename,width,height,class,xmin,ymin,xmax,ymax
2023-02-28-12-32-37_jpg.rf.fdd2a5f98e53af8f17e06a970124db4f.jpg,640,640,fossil,0,430,65,532
2023-02-28-12-32-37_jpg.rf.fdd2a5f98e53af8f17e06a970124db4f.jpg,640,640,fossil,448,603,612,640
2023-02-28-12-32-37_jpg.rf.fdd2a5f98e53af8f17e06a970124db4f.jpg,640,640,fossil,94,465,198,577
2023-02-28-12-32-37_jpg.rf.fdd2a5f98e53af8f17e06a970124db4f.jpg,640,640,fossil,0,78,33,124
2023-02-28-12-32-37_jpg.rf.fdd2a5f98e53af8f17e06a970124db4f.jpg,640,640,fossil,0,22,102,132
2023-02-28-12-32-37_jpg.rf.fdd2a5f98e53af8f17e06a970124db4f.jpg,640,640,fossil,0,148,110,256
2023-02-28-12-32-37_jpg.rf.fdd2a5f98e53af8f17e06a970124db4f.jpg,640,640,fossil,0,314,58,442
2023-02-28-12-32-37_jpg.rf.fdd2a5f98e53af8f17e06a970124db4f.jpg,640,640,fossil,457,56,622,214
2023-02-28-12-32-37_jpg.rf.fdd2a5f98e53af8f17e06a970124db4f.jpg,640,640,fossil,38,0,188,81
2023-02-28-12-32-37_jpg.rf.fdd2a5f98e53af8f17e06a970124db4f.jpg,640,640,fossil,160,1,231,53
2023-02-28-12-32-37_jpg.rf.fdd2a5f98e53af8f17e06a970124db4f.jpg,640,640,fossil,259,64,347,126
2023-02-28-12-32-37_jpg.rf.fdd2a5f98e53af8f17e06a970124db4f.jpg,640,640,fossil,203,106,279,180
2023-02-28-12-32-37_jpg.rf.fdd2a5f98e53af8f17e06a970124db4f.jpg,640,640,fossil,385,230,473,329
2023-02-28-12-32-37_jpg.rf.fdd2a5f98e53af8f17e06a970124db4f.jpg,640,640,fossil,382,417,551,511
2023-02-28-12-32-37_jpg.rf.fdd2a5f98e53af8f17e06a970124db4f.jpg,640,640,fossil,226,396,520,528
2023-02-28-12-32-37_jpg.rf.fdd2a5f98e53af8f17e06a970124db4f.jpg,640,640,fossil,141,382,235,488
2023-02-28-12-32-37_jpg.rf.fdd2a5f98e53af8f17e06a970124db4f.jpg,640,640,fossil,80,227,194,460
2023-02-28-12-32-37_jpg.rf.fdd2a5f98e53af8f17e06a970124db4f.jpg,640,640,fossil,191,191,352,297
2023-02-28-12-32-37_jpg.rf.fdd2a5f98e53af8f17e06a970124db4f.jpg,640,640,fossil,268,200,406,294
2023-02-28-12-32-37_jpg.rf.fdd2a5f98e53af8f17e06a970124db4f.jpg,640,640,fossil,217,242,315,327
2023-02-28-12-32-37_jpg.rf.fdd2a5f98e53af8f17e06a970124db4f.jpg,640,640,fossil,135,351,264,389
2023-02-28-12-32-37_jpg.rf.fdd2a5f98e53af8f17e06a970124db4f.jpg,640,640,fossil,109,392,199,453
2023-02-28-12-32-37_jpg.rf.fdd2a5f98e53af8f17e06a970124db4f.jpg,640,640,fossil,46,136,204,263
2023-02-28-12-32-37_jpg.rf.fdd2a5f98e53af8f17e06a970124db4f.jpg,640,640,fossil,87,181,161,241
2023-02-28-12-32-37_jpg.rf.fdd2a5f98e53af8f17e06a970124db4f.jpg,640,640,fossil,0,0,83,26
2023-02-28-12-32-37_jpg.rf.fdd2a5f98e53af8f17e06a970124db4f.jpg,640,640,fossil,563,0,640,73
